listing_id,date
38585,2010-10-28
38585,2010-11-30
38585,2011-03-14
38585,2011-03-17
38585,2011-06-28
38585,2011-07-12
38585,2011-07-16
38585,2011-07-28
38585,2011-08-30
38585,2011-10-14
38585,2011-10-17
38585,2011-11-01
38585,2011-11-14
38585,2011-11-27
38585,2012-03-06
38585,2012-05-22
38585,2012-05-28
38585,2012-05-30
38585,2012-07-19
38585,2012-08-11
38585,2012-08-12
38585,2012-08-20
38585,2012-09-03
38585,2012-10-15
38585,2012-10-24
38585,2012-10-29
38585,2013-05-28
38585,2013-06-06
38585,2013-06-29
38585,2013-07-01
38585,2013-07-08
38585,2013-07-20
38585,2013-08-24
38585,2013-10-01
38585,2013-10-07
38585,2013-10-14
38585,2013-10-25
38585,2013-11-04
38585,2013-12-09
38585,2014-04-15
38585,2014-04-27
38585,2014-05-26
38585,2014-06-10
38585,2014-06-16
38585,2014-06-25
38585,2014-08-24
38585,2014-09-03
38585,2014-09-28
38585,2014-10-26
38585,2014-11-02
38585,2014-11-30
38585,2015-01-04
38585,2015-03-29
38585,2015-04-02
38585,2015-04-12
38585,2015-04-26
38585,2015-05-17
38585,2015-05-25
38585,2015-06-14
38585,2015-06-21
38585,2015-06-25
38585,2015-06-28
38585,2015-07-05
38585,2015-07-12
38585,2015-08-16
38585,2015-08-21
38585,2015-08-24
38585,2015-08-30
38585,2015-09-13
38585,2015-09-27
38585,2015-10-04
38585,2015-10-26
38585,2015-11-01
38585,2015-11-14
38585,2016-01-02
38585,2016-03-16
38585,2016-05-08
38585,2016-05-22
38585,2016-06-12
38585,2016-06-20
38585,2016-07-10
38585,2016-07-17
38585,2016-08-07
38585,2016-08-14
38585,2016-09-06
38585,2016-09-18
38585,2016-09-24
38585,2016-10-02
38585,2016-10-16
38585,2016-10-30
38585,2016-11-06
38585,2017-01-21
38585,2017-02-19
38585,2017-03-05
38585,2017-04-16
38585,2017-05-21
38585,2017-05-28
38585,2017-06-04
38585,2017-06-18
38585,2017-07-04
38585,2017-07-09
38585,2017-08-22
38585,2017-10-22
38585,2017-10-30
38585,2017-11-05
38585,2017-12-17
38585,2018-01-15
38585,2018-03-12
38585,2018-03-18
38585,2018-05-21
38585,2018-05-27
38585,2018-07-08
38585,2018-07-15
38585,2018-08-05
38585,2018-09-02
38585,2018-09-30
38585,2018-10-08
38585,2018-10-14
38585,2018-10-20
38585,2018-10-28
38585,2018-11-25
38585,2019-02-18
38585,2019-03-17
38585,2019-04-14
38585,2019-04-21
38585,2019-05-04
38585,2019-05-26
38585,2019-06-24
38585,2019-06-30
38585,2019-07-08
38585,2019-07-16
38585,2019-07-28
38585,2019-08-18
38585,2019-09-02
38585,2019-09-22
38585,2019-10-20
38585,2019-11-11
80905,2011-09-06
80905,2011-09-14
80905,2011-09-19
80905,2011-09-26
80905,2011-10-10
