id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23631557,Asheville’s home sweet home away from home,176828759,Greg And Jenny,,28803,35.55224,-82.51129,Entire home/apt,80,1,38,2019-11-25,2.13,1,157
23642577,Spacious Downtown Condo,176961764,Farrel,,28801,35.59811,-82.55612,Entire home/apt,145,3,79,2019-11-18,3.92,1,328
23644478,Curated Art-Inspired Condo Oasis,176979085,Karen,,28801,35.59941,-82.55593,Entire home/apt,180,3,49,2019-11-04,2.77,5,350
23646431,The K House,51827692,Cindy,,28801,35.57771,-82.54724,Private room,85,2,38,2019-11-04,2.52,1,171
23650921,A charming place to hang your hat and explore,109635543,Jean,,28804,35.63284,-82.56135,Entire home/apt,250,2,14,2019-10-13,0.75,1,20
23662197,Montgord Bungalow,96187307,Steve,,28801,35.59847,-82.56699,Entire home/apt,10000,1,0,,,28,0
23704230,Spacious well-lit private room!,10175050,Finn,,28803,35.54314,-82.52741,Private room,50,2,7,2018-10-28,0.40,1,0
23709305,Artist in the Attic Romantic Retreat Farm,119707847,Sandra,,28806,35.64244,-82.6607,Entire home/apt,56,2,83,2019-11-11,4.01,2,65
23715234,Spacious Asheville Studio - A Dream for Couples!,4634736,Bradley,,28804,35.63411,-82.58422,Entire home/apt,200,2,57,2019-11-16,2.74,1,27
23730997,Walk into town!,27482683,Kim,,28801,35.60613,-82.56076,Private room,70,1,18,2018-09-09,0.87,1,0
23739741,Urban Farmhouse Apartment In Biltmore Village,77589736,Jon & Kelly,,28803,35.56358,-82.53834,Entire home/apt,179,2,128,2019-11-24,6.63,1,142
23740885,"Private Cottage with Yard,  Great Location",60348510,Alicia,,28803,35.57396,-82.54857,Entire home/apt,35,28,2,2019-10-18,0.10,6,127
23745497,West Asheville Hideaway,38944655,Kristie,,28806,35.57622,-82.6456,Entire home/apt,95,1,90,2019-11-10,4.40,2,168
23748278,Pet Friendly Cottage @ Applewood Manor B&B,175871539,Applewood,,28801,35.60746,-82.56349,Hotel room,238,1,6,2019-11-17,0.36,8,319
23748554,Walkable Bungalow w King and Queen Beds,178091693,John,,28806,35.57539,-82.5825,Entire home/apt,130,2,88,2019-11-17,4.29,1,27
23748724,The Macintosh Suite at Applewood Manor,175871539,Applewood,,28801,35.6074,-82.5652,Private room,238,1,16,2019-11-17,0.78,8,327
23748903,Northern Spy Suite - Applewood Manor,175871539,Applewood,,28801,35.60786,-82.5638,Hotel room,238,1,4,2019-10-06,0.23,8,314
23748992,Winesap Suite - Applewood Manor,175871539,Applewood,,28801,35.60772,-82.56429,Hotel room,266,1,6,2019-09-08,0.35,8,325
23749047,York Imperial - Applewood Manor Bed & Breakfast,175871539,Applewood,,28801,35.60728,-82.56535,Hotel room,268,1,6,2019-10-06,0.32,8,317
23768813,Applewood Manor Main Building,175871539,Applewood,,28801,35.60599,-82.56358,Private room,975,1,7,2019-07-28,0.39,8,0
23771028,MountainViews Renovated Retreat 3m to downtown Ash,31979774,Bernadette And Dave,,28804,35.62548,-82.52195,Entire home/apt,750,3,18,2019-11-18,0.91,2,308
23788596,Applewood Manor - Entire Bed and Breakfast,175871539,Applewood,,28801,35.60778,-82.56383,Hotel room,1250,1,3,2019-05-05,0.18,8,283
23799929,The Cottage on Crescent,81613773,Nan,,28801,35.60377,-82.54824,Entire home/apt,40,30,3,2018-12-05,0.19,1,0
23804250,"Private, pet friendly suite minutes from downtown.",20731051,Meryl,,28805,35.61545,-82.47955,Entire home/apt,75,2,56,2019-11-24,2.90,1,358
23824223,Lower Berne Chalet,8255241,Judy,,28801,35.59382,-82.53827,Entire home/apt,165,2,23,2019-09-29,1.15,2,342
23856760,Peaceful West Asheville Bungalow,21150231,Alisha,,28715,35.51032,-82.65575,Entire home/apt,105,2,7,2019-08-11,0.35,1,0
23856790,"Spacious studio, minutes from downtown.",2214235,Joshua,,28715,35.56852,-82.65109,Entire home/apt,74,2,59,2019-11-09,2.92,1,349
23859316,Lake View House 2 King Beds 2.8 Miles to Downtown,34304636,Staci,,28804,35.63136,-82.55867,Entire home/apt,223,1,247,2019-11-25,13.42,1,325
23859984,Artsy West Asheville Gigantic Wooded Escape!,28293820,Lucia,,28806,35.585,-82.57275,Entire home/apt,101,2,56,2019-11-16,2.83,1,174
23874576,West AVL Treetops Loft Mtn Views Sunsets Walkable!,161775575,Alan,,28806,35.57555,-82.57851,Entire home/apt,79,2,117,2019-11-17,5.78,1,137
23877206,Lodges at beaver lake unit 302,179393643,Shaun,,28804,35.63884,-82.57669,Entire home/apt,75,2,25,2019-11-10,1.29,3,348
23881173,Cozy Cane Creek Cottage,179435427,Michael,,28732,35.46462,-82.47246,Entire home/apt,62,2,37,2019-11-24,1.89,1,176
23910106,1 BR Downtown Asheville - Steps Away From the Event Center,149601167,TurnKey Vacation Rentals,,28801,35.59959,-82.55388,Entire home/apt,95,2,5,2019-04-28,0.25,26,350
23913900,"Craftsman Charm, Great Location",179746215,Maureen,,28803,35.57401,-82.5342,Entire home/apt,95,2,138,2019-11-25,6.74,1,41
23918895,"Close to downtown,breweries, restaurants&Biltmore",179787311,Michelle,,28803,35.55863,-82.53352,Entire home/apt,150,2,131,2019-11-17,6.63,1,15
23919596,Asheville - Blue Ridge Parkway Getaway,179791169,Rodney,,28804,35.62714,-82.59535,Entire home/apt,115,3,66,2019-11-18,3.62,1,70
23921294,New 4 BR Get-Away just off Haywood Rd W Asheville,162161772,Dave & Stephanie,,28806,35.57694,-82.5816,Entire home/apt,255,30,12,2019-11-11,4.09,1,4
23935850,"Under 15 min. WALK to Downtown AVL! ""Perfect spot""",179941669,Adam,,28801,35.58976,-82.54616,Entire home/apt,199,1,58,2019-11-24,2.88,1,172
23978319,Private Apartment Close to Downtown! Walk or Uber!,6262856,Lili,,28801,35.61171,-82.55047,Entire home/apt,95,2,81,2019-11-24,4.25,1,104
23992083,Cute Craftsman Asheville Retreat #2,67787434,Alli,,28806,35.55428,-82.62905,Private room,30,1,40,2019-11-23,4.10,2,66
23998930,West is Best! Cozy Condo!,154999591,Dema,,28806,35.57989,-82.59402,Entire home/apt,92,2,7,2018-05-28,0.35,1,0
24056179,The Red Hen Cottage*Asheville-North*HOT TUB*,181096695,Jessica,,28804,35.62492,-82.58014,Entire home/apt,175,3,62,2019-10-24,3.14,1,341
24080389,The Hermitage - Across from New Belgium Brewery,5969793,Matthew,,28806,35.58762,-82.57214,Entire home/apt,75,1,120,2019-11-25,5.96,1,56
24098735,80 LEX: APARTMENT 201 : EXQUISITE LODGING,181480147,Andrew,,28801,35.59694,-82.55415,Entire home/apt,250,3,37,2019-11-23,2.02,5,355
24117606,La Maison du Bonheur: The Peaceful Room,181660259,Angèle,,28803,35.53264,-82.51794,Private room,67,2,3,2019-10-06,0.43,2,258
24120346,Lake-Front House @ Lake View Park,180564557,David,,28804,35.6333,-82.56896,Entire home/apt,99,1,175,2019-11-23,8.72,3,31
24172247,"Spacious, peaceful Private Entrance Suite-West AVL",47031601,Brittany,,28806,35.61007,-82.63626,Entire home/apt,65,1,91,2019-11-10,4.64,1,340
24177903,Studio Viajero,9814777,Greg,,28806,35.58418,-82.57689,Entire home/apt,100,2,81,2019-11-10,4.20,1,58
24196245,Bohemian Suite,53922056,Katherine,,28805,35.60232,-82.5322,Entire home/apt,94,3,27,2019-10-25,2.70,4,338
24202030,"Private, Spa-quality Suite, Living Rm/Kitchenette.",16681970,Michelle,,28804,35.63227,-82.60571,Private room,105,2,61,2019-11-17,3.09,1,158
24202205,"West Asheville Bungalow, close to Breweries",71106978,Eric,,28806,35.58282,-82.62686,Entire home/apt,82,2,53,2019-11-17,2.85,1,163
24208478,Vintage Charm Right Where You Want to Be,14858756,Danielle,,28806,35.57974,-82.57025,Private room,58,1,51,2019-11-17,3.13,1,79
24222452,1920's bungalow 2.5 miles to downtown Asheville,35012995,Ben,,28804,35.61101,-82.5615,Entire home/apt,110,3,13,2019-06-17,0.86,4,0
24278792,The Whole Enchilada!,157401925,Lucy,,28804,35.62889,-82.57566,Entire home/apt,240,2,31,2019-11-24,2.02,3,347
24280176,Mountain Apartment Near Biltmore Estate Asheville,53463254,Caroline,,28732,35.48438,-82.47498,Entire home/apt,109,1,78,2019-11-26,5.49,1,147
24287936,Arden 2 Room Apartment,27689181,David,,28704,35.46357,-82.50922,Private room,75,2,18,2019-11-10,1.27,1,353
24306486,Country Chic House with a Hot Tub Near Downtown Asheville,167429334,Melissa,,28803,35.55113,-82.50723,Entire home/apt,150,2,137,2019-11-16,7.29,1,295
24312963,The Lodges at Beaver lake unit 303,179393643,Shaun,,28804,35.63896,-82.5753,Entire home/apt,69,2,24,2019-09-29,1.24,3,317
